Company,MarketValue
3i Infrastructure ,3066.98
4imprint Group ,1735.43
Aberforth Smaller Companies Trust ,1359.7
Abrdn ,3055.63
AJ Bell ,1641.85
Alfa Financial Software Holdings Ltd,547.9
Alliance Trust ,3436.1
Allianz Technology Trust ,1470.81
Alpha Group International ,1028.98
AO World ,663.87
Apax Global Alpha Limited,776.59
Ascential ,747.38
Ashmore Group ,1259.41
Asia Dragon Trust ,651.25
Assura ,1272.65
Aston Martin Lagonda,1254.86
Auction Technology Group ,573.77
AVI Global Trust ,1077.3
Babcock International Group,2674.61
Baillie Gifford Japan Trust ,667.78
Baillie Gifford US Growth Trust ,588.9
Bakkavor Group ,898.11
Balanced Commercial Property Trust Ltd,584.39
Balfour Beatty ,2133.38
Baltic Classifieds Group ,1334
Bank Of Georgia Group ,2003.77
Bankers Investment Trust ,1355.09
Barr(A.G),680.02
BBGI Global Infrastructure S.A.,970.61
Bellevue Healthcare Trust ,689.96
Bellway ,3200.54
BH Macro Ltd,1332.25
Big Yellow Group,2419.15
BlackRock Greater Europe Investment Trust ,615.85
BlackRock Smaller Companies Trust ,728.16
BlackRock Throgmorton Trust ,583.13
BlackRock World Mining Trust ,1108.86
Bluefield Solar Income Fund Limited,649.27
Bodycote ,1325.44
Breedon Group ,1412.02
Bridgepoint Group ,1996.59
British Land Co ,3833.94
Britvic ,3146.18
Brunner Investment Trust ,426
Bytes Technology Group ,1201.17
C & C Group ,619.55
Caledonia Investments ,1908.54
Capital Gearing Trust ,973.5
Carnival ,1914.27
Centamin ,1545.4
Chemring Group ,1060.87
City Of London Investment Trust,143.34
Clarkson ,1361.06
Close Brothers Group ,789.31
CMC Markets ,874.88
Coats Group ,1393.29
Computacenter ,3400.91
Cranswick ,2470.57
Crest Nicholson Holdings ,650.01
Currys ,874.49
Derwent London ,2589.43
Direct Line Insurance Group ,2517.87
DiscoverIE Group ,702.44
Diversified Energy Company ,608.29
Domino's Pizza Group ,1303.89
Dowlais Group ,3500
Dr Martens ,688.8
Drax Group ,2168.31
Dunelm Group ,2248.47
Edinburgh Investment Trust ,1115.35
Edinburgh Worldwide Investment Trust,586.51
Elementis ,864.61
Empiric Student Property ,569.07
Energean,1922.88
Essentra ,466.38
European Opportunities Trust ,578.76
Fidelity China Special Situations ,998.6
Fidelity Emerging Markets Limited,531.12
Fidelity European Trust ,1600.18
Fidelity Special Values ,1030.63
Finsbury Growth & Income Trust ,1466.12
FirstGroup ,1083.11
Foresight Group Holdings Ltd,467
Foresight Solar Fund Ltd,524.1
Future ,1242.33
Games Workshop Group,3397.34
GCP Infrastructure Investments Ltd,706.4
Genuit Group ,1202.24
Genus ,1137.08
Goodwin ,350
Grafton Group,2047.18
Grainger ,1820.52
Great Portland Estates,1405.41
Greencoat UK Wind ,3160.83
Greencore Group ,465
Greggs ,2930.65
Hammerson ,1446.88
Harbour Energy ,2368.15
Harbourvest Global Private Equity,1941.78
Hays ,1471.56
Helios Towers ,1349.56
Henderson Smaller Cos Investment Trust ,676.16
Herald Investment Trust ,1213.95
